accommodates,bathrooms,bedrooms,beds,host_total_listings_count,minimum_nights,number_of_reviews,price,review_scores_accuracy,review_scores_checkin,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value
2.0,1.0,0.0,1.0,0.0,2.0,47.0,130.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
5.0,1.0,2.0,3.0,0.0,1.0,59.0,135.0,10.0,10.0,10.0,10.0,10.0,98.0,9.0
4.0,1.5,1.0,1.0,0.0,2.0,79.0,194.0,10.0,10.0,9.0,10.0,9.0,94.0,9.0
4.0,1.0,2.0,2.0,1.0,30.0,8.0,120.0,10.0,10.0,9.0,10.0,9.0,93.0,10.0
2.0,1.0,1.0,1.0,1.0,3.0,73.0,115.0,10.0,10.0,10.0,10.0,8.0,95.0,9.0
3.0,1.0,1.0,2.0,1.0,1.0,26.0,68.0,10.0,10.0,10.0,10.0,9.0,98.0,10.0
6.0,1.0,2.0,2.0,1.0,30.0,24.0,225.0,9.0,10.0,10.0,10.0,9.0,95.0,9.0
3.0,1.0,1.0,1.0,1.0,1.0,43.0,108.0,10.0,10.0,10.0,10.0,8.0,92.0,9.0
1.0,1.0,1.0,1.0,1.0,7.0,0.0,65.0,10.0,10.0,10.0,10.0,10.0,97.0,10.0
4.0,1.0,1.0,3.0,1.0,1.0,26.0,127.0,10.0,10.0,10.0,10.0,9.0,98.0,10.0
4.0,1.0,0.0,2.0,1.0,2.0,79.0,99.0,9.0,10.0,9.0,9.0,8.0,89.0,9.0
2.0,1.0,1.0,1.0,1.0,2.0,51.0,115.0,10.0,10.0,10.0,10.0,7.0,91.0,9.0
3.0,1.0,1.0,1.0,1.0,4.0,8.0,90.0,10.0,10.0,10.0,10.0,9.0,95.0,9.0
6.0,2.0,2.0,2.0,1.0,2.0,30.0,167.0,10.0,10.0,9.0,10.0,9.0,96.0,9.0
3.0,1.0,1.0,1.0,1.0,3.0,29.0,125.0,10.0,10.0,10.0,10.0,8.0,98.0,9.0
5.0,1.0,1.0,3.0,1.0,3.0,137.0,99.0,9.0,10.0,9.0,10.0,7.0,91.0,9.0
3.0,1.5,1.0,1.0,1.0,1.0,166.0,50.0,9.0,10.0,9.0,10.0,8.0,93.0,9.0
3.0,1.0,1.0,1.0,1.0,1.0,0.0,99.0,10.0,10.0,10.0,10.0,10.0,97.0,10.0
4.0,1.0,1.0,2.0,1.0,2.0,162.0,120.0,10.0,10.0,10.0,10.0,9.0,99.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,50.0,99.0,10.0,10.0,10.0,10.0,9.0,98.0,10.0
2.0,1.0,0.0,1.0,1.0,4.0,6.0,115.0,10.0,10.0,10.0,10.0,8.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,20.0,100.0,9.0,10.0,9.0,10.0,7.0,86.0,9.0
3.0,1.0,1.0,1.0,1.0,3.0,125.0,106.0,10.0,10.0,9.0,10.0,9.0,95.0,10.0
2.0,1.0,0.0,1.0,1.0,2.0,2.0,125.0,10.0,10.0,10.0,10.0,9.0,100.0,10.0
16.0,3.0,6.0,10.0,1.0,2.0,14.0,800.0,10.0,10.0,10.0,10.0,9.0,99.0,10.0
4.0,2.0,2.0,2.0,1.0,3.0,8.0,120.0,10.0,10.0,10.0,10.0,9.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,11.0,99.0,10.0,10.0,9.0,10.0,8.0,95.0,8.0
3.0,1.0,1.0,2.0,1.0,2.0,201.0,95.0,10.0,10.0,9.0,10.0,8.0,94.0,9.0
2.0,1.0,1.0,1.0,1.0,2.0,73.0,115.0,9.0,10.0,10.0,10.0,8.0,92.0,9.0
4.0,1.0,2.0,2.0,1.0,2.0,65.0,135.0,10.0,10.0,10.0,10.0,8.0,96.0,9.0
2.0,1.0,0.0,1.0,1.0,4.0,19.0,189.0,10.0,10.0,10.0,10.0,9.0,98.0,10.0
5.0,1.5,1.0,2.0,1.0,2.0,338.0,112.0,9.0,10.0,9.0,10.0,8.0,88.0,9.0
2.0,1.0,1.0,1.0,1.0,2.0,72.0,78.0,10.0,10.0,10.0,10.0,8.0,97.0,9.0
4.0,1.0,0.0,2.0,1.0,1.0,22.0,134.0,10.0,10.0,10.0,10.0,9.0,99.0,10.0
6.0,1.0,3.0,4.0,1.0,3.0,0.0,90.0,10.0,10.0,10.0,10.0,10.0,97.0,10.0
2.0,1.5,1.0,1.0,1.0,2.0,46.0,36.0,10.0,10.0,10.0,10.0,9.0,97.0,10.0
6.0,1.0,2.0,3.0,1.0,2.0,126.0,250.0,10.0,10.0,10.0,10.0,9.0,97.0,10.0
4.0,1.0,2.0,2.0,1.0,2.0,115.0,210.0,10.0,10.0,10.0,10.0,9.0,96.0,10.0
2.0,1.0,1.0,1.0,1.0,1.0,222.0,76.0,10.0,10.0,9.0,10.0,8.0,93.0,9.0
2.0,1.5,1.0,1.0,1.0,3.0,228.0,90.0,10.0,10.0,10.0,10.0,9.0,99.0,10.0
3.0,1.0,1.0,1.0,1.0,2.0,49.0,140.0,10.0,10.0,10.0,10.0,9.0,99.0,10.0
2.0,1.0,1.0,2.0,1.0,1.0,65.0,110.0,10.0,10.0,10.0,10.0,9.0,90.0,9.0
2.0,1.0,1.0,1.0,1.0,2.0,157.0,125.0,10.0,10.0,10.0,10.0,9.0,96.0,10.0
2.0,1.0,0.0,1.0,1.0,1.0,100.0,130.0,10.0,10.0,10.0,10.0,9.0,92.0,9.0
8.0,2.0,3.0,4.0,1.0,2.0,13.0,275.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
8.0,2.5,4.0,6.0,1.0,4.0,11.0,419.0,10.0,10.0,10.0,10.0,9.0,98.0,10.0
4.0,1.0,2.0,2.0,1.0,3.0,15.0,225.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
6.0,2.0,4.0,4.0,1.0,5.0,4.0,233.0,10.0,10.0,10.0,10.0,9.0,100.0,10.0
2.0,1.0,0.0,1.0,1.0,2.0,32.0,110.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,19.0,120.0,10.0,10.0,10.0,10.0,10.0,97.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,6.0,160.0,10.0,10.0,10.0,10.0,10.0,100.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,145.0,100.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
2.0,1.0,1.0,1.0,1.0,1.0,97.0,65.0,10.0,10.0,10.0,10.0,10.0,99.0,10.0
5.0,2.0,2.0,3.0,1.0,4.0,17.0,299.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
2.0,1.0,1.0,1.0,1.0,2.0,57.0,115.0,10.0,10.0,10.0,10.0,10.0,98.0,10.0
